1904 1228 2108 1256 1908 390 1631 102 1595 2575 739 1651 1683 857 2720 2317 1910 260 1771 924 1348 1639 1765 901 1635 1754 2001 690 2514 527 2207 679 904 2500 634 524 2964 1867 2532 1555 
660 1398 1490 713 2010 1099 1549 2655 1911 928 1344 1387 1839 1984 378 1930 1909 2251 2107 1173 1633 1995 446 1577 2291 1690 2648 2501 2547 278 1122 1055 1427 2351 1208 2983 1294 1890 2717 718 
1744 1267 1201 2068 310 1930 886 997 1523 1969 938 676 1626 2027 1288 2678 1487 2392 2477 634 1962 2115 1521 2329 1528 1982 377 1356 1622 670 798 1287 2235 1441 1489 1212 1230 974 844 1516 
1393 1405 1456 1474 1380 1223 445 2356 2400 644 2088 1224 2713 1322 1868 658 1515 2568 1858 2546 766 1402 1286 2231 1717 1858 1545 2525 679 1633 1328 2227 1429 1587 949 2239 542 2250 2587 1885 
1072 2239 2794 627 2663 2071 1903 1352 950 2331 1778 2450 1011 545 1866 963 1283 1958 1385 1469 2666 676 1459 2616 2021 2318 1982 617 1749 2075 578 1484 1298 807 2195 1799 1976 2612 913 1268 
1145 1087 1458 1672 702 1817 1609 2147 1872 1659 2841 2619 2624 1202 1983 1733 332 1699 2458 632 1034 1994 1992 1582 1521 2148 2325 833 1587 532 1442 617 2607 1441 1201 2006 1032 2679 528 1857 
1962 1380 724 1149 2508 2053 1454 1496 2776 2146 1056 1177 2662 1808 879 2683 2819 487 1397 2557 861 2129 2477 3022 1261 977 795 537 1060 2448 2107 2216 623 961 1685 856 1453 2267 1230 1391 
1219 1919 2021 2561 530 2248 1177 779 1875 1714 1111 1455 1416 1518 1492 969 920 1573 2611 1382 433 1566 1402 2496 959 1026 1924 1677 1577 1074 1029 2376 1885 1060 2628 1628 1391 1670 543 1834 
1825 1079 2481 264 1732 1688 1173 1727 2820 2232 855 623 912 1492 865 1963 2448 2115 1468 2579 1043 1616 943 1090 1134 2730 1481 2346 2315 2177 2216 2098 1240 923 1836 2074 1383 327 2798 1796 
2673 1619 1594 1711 1554 1705 1343 2042 1682 2152 1630 2565 2407 2439 1187 2159 604 1715 1592 1176 1984 1085 1258 1480 1072 1463 1176 1328 2333 1369 2556 1214 598 1282 1471 877 1522 1075 2158 2570 
2175 472 2494 2006 1849 753 1165 2517 2231 1827 1378 2410 1081 687 984 2024 1998 2089 2111 1117 229 1580 550 2255 772 1138 2126 1908 1276 1055 330 1978 2422 1808 1645 1639 2140 1573 2047 1265 
1702 1185 1502 2591 1530 2413 2095 2658 1704 658 2340 722 1752 1556 2088 1569 2218 2159 1561 2415 2539 2002 2328 1473 303 2244 1238 1247 1453 1823 2109 1258 2010 1082 1343 1845 709 2583 938 2248 
861 1210 1443 1526 485 561 2004 1045 1213 1605 1359 1925 877 1273 955 2346 2462 1666 629 775 1609 3019 1870 771 1222 770 1731 1525 1034 2598 2552 2193 1383 1113 541 2706 839 1156 1692 1967 
1419 1243 636 991 2347 1479 2459 2126 1907 2330 688 1976 1169 1876 1520 975 1233 1288 1875 769 636 1449 1698 1672 365 1616 2437 1399 1645 1045 2613 670 793 1439 2797 797 1148 1275 1603 1384 
2047 1952 1701 252 1657 2756 1581 2329 2513 2724 1915 1147 2070 1105 2043 1117 2227 532 963 1861 2363 560 1413 1837 891 1901 2352 1211 2197 1168 1856 291 1949 2551 2673 1131 1844 1201 2518 1480 
1698 1232 1466 1398 1693 2574 1677 658 1895 1933 746 1508 2597 421 2952 532 1683 1269 1855 2093 2337 1949 1208 1682 1472 1990 257 1933 120 1900 2109 1074 1586 1351 1143 2165 1983 1433 2200 2937 
653 2763 852 1835 292 1371 1385 2157 1788 895 1954 1465 931 1573 1929 531 1771 2391 2348 825 1211 1171 2591 1622 2613 2063 1227 694 2222 1489 350 1016 1336 1856 2156 1904 2186 2287 1157 1416 
1356 2281 1468 2314 2456 1407 1125 1264 1241 2375 1082 849 2961 681 1072 1074 2213 1962 1240 1761 1490 2626 2125 438 1756 940 2540 1475 930 2239 2069 1874 846 1658 567 1255 1613 1807 1829 1635 
2491 1915 1105 2507 1723 1901 1195 413 2629 2690 1582 1621 1805 449 2901 1392 2293 1298 1023 1176 1251 1104 1603 1748 1668 2702 1927 690 2934 983 1239 1255 1765 1958 1368 2511 1812 625 1590 1886 
1615 535 1605 1298 1445 1234 1296 1959 1761 2010 1903 464 1670 1570 1861 1114 1203 2033 1657 2916 1866 468 2713 719 1788 1425 1436 2007 521 2843 670 1619 2070 1487 2075 2536 1748 1284 1765 2672 
777 2111 1823 1069 1348 1758 1426 1621 1927 2501 2343 1396 1514 706 761 1028 2084 1955 2632 1107 738 925 1910 983 1274 937 2586 1800 1040 2141 2355 2036 1880 1593 915 1669 1436 1175 2053 1051 
1791 1329 2403 936 2586 1960 848 1505 2499 1673 1481 1961 1536 143 1617 1792 2204 1856 1640 2185 1998 2297 1808 1012 2034 2018 1937 1862 2643 2078 2055 1071 1045 1387 2775 1310 1408 1739 2046 2043 
